,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
627,2011-12-19,4.028988154283454,4.028988154283454,4.028988154283454,-1.229252936310798,0.8928545493864125,-4.245256010757256,-4.245256010757256,-4.245256010757256,-4.245256010757256,-4.245256010757256,-4.245256010757256,0.014831560261943618,0.014831560261943618,0.014831560261943618,-4.260087571019199,-4.260087571019199,-4.260087571019199,-0.2162678564738023
628,2011-12-20,4.029387831171539,4.029387831171539,4.029387831171539,-1.405766233035358,0.8286072035697718,-4.30354016089755,-4.30354016089755,-4.30354016089755,-4.30354016089755,-4.30354016089755,-4.30354016089755,-0.02527125308381089,-0.02527125308381089,-0.02527125308381089,-4.2782689078137395,-4.2782689078137395,-4.2782689078137395,-0.2741523297260109
629,2011-12-21,4.029787508059625,4.029787508059625,4.029787508059625,-1.297180198749889,0.7374091327682489,-4.334196560772761,-4.334196560772761,-4.334196560772761,-4.334196560772761,-4.334196560772761,-4.334196560772761,-0.04254489631341732,-0.04254489631341732,-0.04254489631341732,-4.291651664459343,-4.291651664459343,-4.291651664459343,-0.3044090527131358
630,2011-12-22,4.030187184947711,4.030187184947711,4.030187184947711,-1.4134099259449528,0.8256441968871404,-4.333469206927319,-4.333469206927319,-4.333469206927319,-4.333469206927319,-4.333469206927319,-4.333469206927319,-0.03321749977237965,-0.03321749977237965,-0.03321749977237965,-4.300251707154939,-4.300251707154939,-4.300251707154939,-0.30328202197960774
631,2011-12-23,4.030586861835797,4.030586861835797,4.030586861835797,-1.3129046367830386,0.848713254434369,-4.294331369459134,-4.294331369459134,-4.294331369459134,-4.294331369459134,-4.294331369459134,-4.294331369459134,0.009871588600485306,0.009871588600485306,0.009871588600485306,-4.304202958059619,-4.304202958059619,-4.304202958059619,-0.2637445076233371
632,2011-12-24,4.030986538723882,4.030986538723882,4.030986538723882,-1.3494393294866915,0.8065992573073354,-4.27777724829716,-4.27777724829716,-4.27777724829716,-4.27777724829716,-4.27777724829716,-4.27777724829716,0.02597221056495313,0.02597221056495313,0.02597221056495313,-4.303749458862113,-4.303749458862113,-4.303749458862113,-0.2467907095732782
633,2011-12-25,4.031386215611968,4.031386215611968,4.031386215611968,-1.2979125420258606,0.8198326182236839,-4.248876343456514,-4.248876343456514,-4.248876343456514,-4.248876343456514,-4.248876343456514,-4.248876343456514,0.05035828974231253,0.05035828974231253,0.05035828974231253,-4.299234633198827,-4.299234633198827,-4.299234633198827,-0.21749012784454624
634,2011-12-26,4.031785892500053,4.031785892500053,4.031785892500053,-1.3647092845668256,0.8151095060777579,-4.276256604763171,-4.276256604763171,-4.276256604763171,-4.276256604763171,-4.276256604763171,-4.276256604763171,0.014831560261964189,0.014831560261964189,0.014831560261964189,-4.291088165025135,-4.291088165025135,-4.291088165025135,-0.24447071226311845
635,2011-12-27,4.0321855693881385,4.0321855693881385,4.0321855693881385,-1.4286148453983456,0.8414020070805482,-4.3050822146402705,-4.3050822146402705,-4.3050822146402705,-4.3050822146402705,-4.3050822146402705,-4.3050822146402705,-0.02527125308385044,-0.02527125308385044,-0.02527125308385044,-4.27981096155642,-4.27981096155642,-4.27981096155642,-0.272896645252132
636,2011-12-28,4.032585246276224,4.032585246276224,4.032585246276224,-1.3370126723354159,0.8522604389166614,-4.308503602203366,-4.308503602203366,-4.308503602203366,-4.308503602203366,-4.308503602203366,-4.308503602203366,-0.04254489631340527,-0.04254489631340527,-0.04254489631340527,-4.265958705889961,-4.265958705889961,-4.265958705889961,-0.27591835592714187
